domain_id,subdomain_id,variable_id,variable_code,variable_name
EBA_Float,EBA_Float,EBA_FIELD_mi1389,mi1389,Reinsurance recoverables
EBA_Float,EBA_Float,EBA_FIELD_mi1390,mi1390,Maximum cover by insurance/reinsurance intra-group transaction
EBA_Float,EBA_Float,EBA_FIELD_mi141,mi141,Incremental default and migration risk capital charge
EBA_Float,EBA_Float,EBA_FIELD_mi142,mi142,Incremental default and migration risk capital charge last measure
EBA_Float,EBA_Float,EBA_FIELD_mi143,mi143,Incurred CVA
EBA_Float,EBA_Float,EBA_FIELD_mi15,mi15,Adjusted stressed VaR
EBA_Float,EBA_Float,EBA_FIELD_mi153,mi153,Exposure value after application of exemptions and CRM
EBA_Float,EBA_Float,EBA_FIELD_mi154,mi154,Exposure value before application of exemptions and CRM
EBA_Float,EBA_Float,EBA_FIELD_mi155,mi155,LE Original exposure
EBA_Float,EBA_Float,EBA_FIELD_mi156,mi156,LE Percentage against capital before application of exemptions and CRM
EBA_Float,EBA_Float,EBA_FIELD_mi1561,mi1561,Amount as defined in Annex IV of ITS on ICT TPP register
EBA_Float,EBA_Float,EBA_FIELD_mi159,mi159,Amount of accumulated impairment
EBA_Float,EBA_Float,EBA_FIELD_mi16,mi16,Adjusted VaR
EBA_Float,EBA_Float,EBA_FIELD_mi160,mi160,Limit for grandfathering of instruments not constituting State aid
EBA_Float,EBA_Float,EBA_FIELD_mi161,mi161,Losses stemming from lending collateralised
EBA_Float,EBA_Float,EBA_FIELD_mi162,mi162,Losses stemming from lending collateralised - Valued with mortgage lending value
EBA_Float,EBA_Float,EBA_FIELD_mi164,mi164,Maximum amount of the collateral/guarantee that can be considered
EBA_Float,EBA_Float,EBA_FIELD_mi166,mi166,Mean credit spread
EBA_Float,EBA_Float,EBA_FIELD_mi17,mi17,Adjustment to the risk-weighted exposure amount due to maturity mismatches
EBA_Float,EBA_Float,EBA_FIELD_mi170,mi170,Notional amount
EBA_Float,EBA_Float,EBA_FIELD_mi171,mi171,Notional amount retained or repurchased of credit protection
EBA_Float,EBA_Float,EBA_FIELD_mi172,mi172,"Nominal amount, Maximum collateral/guarantee that can be considered"
EBA_Float,EBA_Float,EBA_FIELD_mi18,mi18,"Adjustment to Value used for market risk, net, weighted after cap due to infringement of the due diligence provisions"
EBA_Float,EBA_Float,EBA_FIELD_mi180,mi180,Original exposure pre conversion factors
EBA_Float,EBA_Float,EBA_FIELD_mi182,mi182,Overall effect (adjustment) due to infringement of the due diligence provisions
EBA_Float,EBA_Float,EBA_FIELD_mi183,mi183,"Own funds requirement before alleviation due to expected loss, diversification and risk mitigation techniques"
EBA_Float,EBA_Float,EBA_FIELD_mi184,mi184,Own funds requirements
EBA_Float,EBA_Float,EBA_FIELD_mi19,mi19,After transitional provisions
EBA_Float,EBA_Float,EBA_FIELD_mi191,mi191,Present value
EBA_Float,EBA_Float,EBA_FIELD_mi192,mi192,Latest available stressed VaR
EBA_Float,EBA_Float,EBA_FIELD_mi193,mi193,Previous day VaR
EBA_Float,EBA_Float,EBA_FIELD_mi194,mi194,Price difference exposure due to unsettled transactions
EBA_Float,EBA_Float,EBA_FIELD_mi195,mi195,Principal amount outstanding
EBA_Float,EBA_Float,EBA_FIELD_mi198,mi198,Qualifying amount
EBA_Float,EBA_Float,EBA_FIELD_mi2,mi2,17.65% CET1 threshold
